year,cleaned_county,ev_station_count,cumulative_ev_stations
2011,Broward County,3,3
2011,Hillsborough County,5,5
2011,Miami-Dade County,8,8
2011,Orange County,4,4
2011,Other Florida Counties,16,16
2011,Palm Beach County,4,4
2012,Broward County,3,6
2012,Hillsborough County,3,8
2012,Miami-Dade County,2,10
2012,Orange County,13,17
2012,Other Florida Counties,43,52
2012,Palm Beach County,6,10
2013,Broward County,3,9
2013,Miami-Dade County,4,14
2013,Orange County,5,22
2013,Other Florida Counties,9,34
2013,Palm Beach County,3,13
2014,Broward County,6,15
2014,Hillsborough County,2,10
2014,Miami-Dade County,12,26
2014,Orange County,3,25
2014,Other Florida Counties,11,38
2014,Palm Beach County,6,19
2015,Broward County,13,28
2015,Hillsborough County,3,13
2015,Miami-Dade County,14,40
2015,Orange County,5,30
2015,Other Florida Counties,58,107
2015,Palm Beach County,9,28
2016,Broward County,8,36
2016,Hillsborough County,9,22
2016,Miami-Dade County,26,66
2016,Orange County,10,40
2016,Other Florida Counties,39,143
2016,Palm Beach County,6,34
2017,Broward County,17,53
2017,Hillsborough County,14,36
2017,Miami-Dade County,21,87
2017,Orange County,24,64
2017,Other Florida Counties,93,233
2017,Palm Beach County,6,40
2018,Broward County,17,70
2018,Hillsborough County,13,49
2018,Miami-Dade County,53,140
2018,Orange County,19,83
2018,Other Florida Counties,68,283
2018,Palm Beach County,22,62
2019,Broward County,19,89
2019,Hillsborough County,19,68
2019,Miami-Dade County,52,192
2019,Orange County,19,102
2019,Other Florida Counties,78,372
2019,Palm Beach County,20,82
2020,Broward County,30,119
2020,Hillsborough County,21,89
2020,Miami-Dade County,65,257
2020,Orange County,26,128
2020,Other Florida Counties,128,520
2020,Palm Beach County,19,101
2021,Broward County,85,204
2021,Hillsborough County,43,132
2021,Miami-Dade County,137,394
2021,Orange County,44,172
2021,Other Florida Counties,234,715
2021,Palm Beach County,69,170
2022,Broward County,82,286
2022,Hillsborough County,51,183
2022,Miami-Dade County,118,512
2022,Orange County,31,203
2022,Other Florida Counties,341,1092
2022,Palm Beach County,73,243
2023,Broward County,60,346
2023,Hillsborough County,46,229
2023,Miami-Dade County,99,611
2023,Orange County,122,325
2023,Other Florida Counties,255,1310
2023,Palm Beach County,43,286
2024,Broward County,46,392
2024,Hillsborough County,22,251
2024,Miami-Dade County,76,687
2024,Orange County,97,422
2024,Other Florida Counties,307,1617
2024,Palm Beach County,23,309
