year,state,county,zip_codes,population,ev_registrations,cumulative_ev_stations,median_income
2017,TX,Anderson County,"[75763, 75779, 75801, 75802, 75803, 75832, 75839, 75853, 75861, 75880, 75882, 75884, 75886]",58175.0,1,0,"42,313"
2017,TX,Andrews County,[79714],17603.0,1,0,"70,753"
2017,TX,Angelina County,"[75901, 75902, 75903, 75904, 75915, 75941, 75949, 75969, 75980]",87572.0,2,0,"46,472"
2017,TX,Aransas County,"[78358, 78381, 78382]",25392.0,1,2,"44,601"
2017,TX,Archer County,"[76351, 76366, 76370, 76379, 76389]",8783.0,2,0,"63,192"
2017,TX,Atascosa County,"[78008, 78011, 78012, 78026, 78050, 78052, 78062, 78064, 78065, 78069]",49083.0,2,0,"55,194"
2017,TX,Austin County,"[77418, 77452, 77473, 77474, 77485, 78931, 78933, 78944, 78950]",29722.0,3,0,"62,614"
2017,TX,Bandera County,"[78003, 78055, 78063, 78883, 78885]",22327.0,3,0,"56,413"
2017,TX,Bastrop County,"[78602, 78612, 78621, 78650, 78659, 78662, 78953, 78957]",84585.0,11,0,"59,185"
2017,TX,Bee County,"[78102, 78104, 78125, 78142, 78145, 78146, 78162, 78389, 78391]",32592.0,1,0,"45,415"
2017,TX,Bell County,"[76501, 76502, 76503, 76504, 76505, 76508, 76513, 76519, 76533, 76534, 76540, 76541, 76542, 76543, 76545, 76546, 76547, 76548, 76549, 76554, 76559, 76564, 76569, 76571, 76579]",347377.0,43,0,"52,583"
2017,TX,Bexar County,"[78002, 78015, 78023, 78054, 78073, 78109, 78112, 78148, 78150, 78152, 78201, 78202, 78203, 78204, 78205, 78206, 78207, 78208, 78209, 78210, 78211, 78212, 78213, 78214, 78215, 78216, 78217, 78218, 78219, 78220, 78221, 78222, 78223, 78224, 78225, 78226, 78227, 78228, 78229, 78230, 78231, 78232, 78233, 78234, 78235, 78236, 78237, 78238, 78239, 78240, 78241, 78242, 78243, 78244, 78245, 78246, 78247, 78248, 78249, 78250, 78251, 78252, 78253, 78254, 78255, 78256, 78257, 78258, 78259, 78260, 78261, 78262, 78263, 78264, 78265, 78268, 78269, 78270, 78275, 78278, 78279, 78280, 78283, 78284, 78285, 78286, 78287, 78288, 78289, 78291, 78292, 78293, 78294, 78295, 78296, 78297, 78298, 78299]",1956988.0,377,18,"53,999"
2017,TX,Blanco County,"[78606, 78635, 78636, 78663]",11481.0,1,3,"58,500"
2017,TX,Bowie County,"[75501, 75503, 75504, 75505, 75507, 75559, 75561, 75567, 75569, 75570, 75573, 75574, 75599]",93458.0,3,1,"46,283"
2017,TX,Brazoria County,"[77422, 77430, 77431, 77463, 77480, 77486, 77511, 77512, 77515, 77516, 77531, 77534, 77541, 77542, 77566, 77577, 77578, 77581, 77583, 77584, 77588]",361853.0,50,0,"76,426"
2017,TX,Brazos County,"[77801, 77802, 77803, 77805, 77806, 77807, 77808, 77840, 77841, 77842, 77843, 77844, 77845, 77862, 77866, 77881]",223917.0,23,6,"43,907"
2017,TX,Brewster County,"[79830, 79831, 79832, 79834, 79842, 79852]",9325.0,1,0,"38,906"
2017,TX,Briscoe County,"[79255, 79257]",1514.0,1,0,"42,500"
2017,TX,Brown County,"[76432, 76801, 76802, 76803, 76804, 76823, 76827, 76857, 76890]",37815.0,1,0,"43,062"
2017,TX,Burleson County,"[77836, 77838, 77852, 77863, 77878, 77879]",18053.0,1,0,"52,510"
2017,TX,Burnet County,"[78605, 78608, 78611, 78654]",46600.0,6,0,"57,173"
2017,TX,Caldwell County,"[78616, 78622, 78644, 78648, 78655, 78656, 78661]",42328.0,34,0,"51,346"
2017,TX,Cameron County,"[78520, 78521, 78522, 78523, 78526, 78535, 78550, 78551, 78552, 78553, 78559, 78566, 78567, 78568, 78575, 78578, 78583, 78586, 78592, 78593, 78597]",422227.0,21,4,"36,095"
2017,TX,Carson County,"[79039, 79068, 79080, 79097]",6005.0,1,0,"67,010"
2017,TX,Cass County,"[75551, 75555, 75556, 75560, 75562, 75563, 75564, 75565, 75566, 75572, 75656]",29966.0,2,0,"41,432"
2017,TX,Chambers County,"[77514, 77523, 77560, 77580, 77597, 77661, 77665]",41269.0,1,0,"74,368"
2017,TX,Cherokee County,"[75759, 75764, 75766, 75772, 75780, 75785, 75925, 75976]",52116.0,2,0,"44,294"
