zip,population,city,county,state
34787,86913,Winter Garden,Orange County,Fl
34953,78558,Port Saint Lucie,St. Lucie County,Fl
33311,75435,Fort Lauderdale,Broward County,Fl
33411,73919,West Palm Beach,Palm Beach County,Fl
33024,73405,Hollywood,Broward County,Fl
33025,72684,Hollywood,Broward County,Fl
33647,72323,Tampa,Hillsborough County,Fl
33023,71749,Hollywood,Broward County,Fl
33012,71088,Hialeah,Miami-Dade County,Fl
32828,69778,Orlando,Orange County,Fl
33157,69152,Miami,Miami-Dade County,Fl
32218,68996,Jacksonville,Duval County,Fl
33186,68750,Miami,Miami-Dade County,Fl
33015,68517,Hialeah,Miami-Dade County,Fl
32822,68321,Orlando,Orange County,Fl
33033,68121,Homestead,Miami-Dade County,Fl
32210,67110,Jacksonville,Duval County,Fl
34711,66744,Clermont,Lake County,Fl
32259,66518,Saint Johns,St. Johns County,Fl
33463,65766,Lake Worth,Palm Beach County,Fl
32244,65499,Jacksonville,Duval County,Fl
33178,64751,Miami,Miami-Dade County,Fl
33027,63474,Hollywood,Broward County,Fl
32765,63210,Oviedo,Seminole County,Fl
32825,63056,Orlando,Orange County,Fl
32808,62827,Orlando,Orange County,Fl
32818,62566,Orlando,Orange County,Fl
33313,62232,Fort Lauderdale,Broward County,Fl
34744,60995,Kissimmee,Osceola County,Fl
33065,60600,Coral Springs,Broward County,Fl
33064,60009,Pompano Beach,Broward County,Fl
32771,59134,Sanford,Seminole County,Fl
33142,59121,Miami,Miami-Dade County,Fl
33511,58987,Brandon,Hillsborough County,Fl
33414,58842,Wellington,Palm Beach County,Fl
32246,58684,Jacksonville,Duval County,Fl
32068,57372,Middleburg,Clay County,Fl
33032,57327,Homestead,Miami-Dade County,Fl
32703,57046,Apopka,Orange County,Fl
33458,56799,Jupiter,Palm Beach County,Fl
33177,56791,Miami,Miami-Dade County,Fl
32824,56484,Orlando,Orange County,Fl
33578,55724,Riverview,Hillsborough County,Fl
33018,55241,Hialeah,Miami-Dade County,Fl
33063,55143,Pompano Beach,Broward County,Fl
33467,55101,Lake Worth,Palm Beach County,Fl
33125,54873,Miami,Miami-Dade County,Fl
34741,54464,Kissimmee,Osceola County,Fl
33196,54187,Miami,Miami-Dade County,Fl
32225,54073,Jacksonville,Duval County,Fl
34746,53653,Kissimmee,Osceola County,Fl
33312,53409,Fort Lauderdale,Broward County,Fl
32608,53301,Gainesville,Alachua County,Fl
34221,52882,Palmetto,Manatee County,Fl
33161,52824,Miami,Miami-Dade County,Fl
33068,52792,Pompano Beach,Broward County,Fl
32162,52752,The Villages,Sumter County,Fl
33176,52719,Miami,Miami-Dade County,Fl
32174,52140,Ormond Beach,Volusia County,Fl
32792,52120,Winter Park,Seminole County,Fl
33165,52047,Miami,Miami-Dade County,Fl
33319,52000,Fort Lauderdale,Broward County,Fl
33415,51874,West Palm Beach,Palm Beach County,Fl
32256,51638,Jacksonville,Duval County,Fl
33810,51427,Lakeland,Polk County,Fl
32725,50825,Deltona,Volusia County,Fl
32164,50721,Palm Coast,Flagler County,Fl
33612,50697,Tampa,Hillsborough County,Fl
33321,50307,Fort Lauderdale,Broward County,Fl
33021,50300,Hollywood,Broward County,Fl
33175,50233,Miami,Miami-Dade County,Fl
33324,49994,Fort Lauderdale,Broward County,Fl
32835,49890,Orlando,Orange County,Fl
32303,49824,Tallahassee,Leon County,Fl
32712,49738,Apopka,Orange County,Fl
32839,49304,Orlando,Orange County,Fl
34668,49271,Port Richey,Pasco County,Fl
33617,48987,Tampa,Hillsborough County,Fl
33615,48849,Tampa,Hillsborough County,Fl
32837,48762,Orlando,Orange County,Fl
33461,48575,Lake Worth,Palm Beach County,Fl
32304,48568,Tallahassee,Leon County,Fl
33162,48326,Miami,Miami-Dade County,Fl
33179,48196,Miami,Miami-Dade County,Fl
32738,47917,Deltona,Volusia County,Fl
32907,47823,Palm Bay,Brevard County,Fl
33436,47606,Boynton Beach,Palm Beach County,Fl
32708,47437,Winter Springs,Seminole County,Fl
33193,47116,Miami,Miami-Dade County,Fl
33147,47065,Miami,Miami-Dade County,Fl
32940,47030,Melbourne,Brevard County,Fl
32137,46970,Palm Coast,Flagler County,Fl
33614,46844,Tampa,Hillsborough County,Fl
33126,46798,Miami,Miami-Dade County,Fl
34293,46782,Venice,Sarasota County,Fl
34761,46233,Ocoee,Orange County,Fl
34983,45943,Port Saint Lucie,St. Lucie County,Fl
34786,45914,Windermere,Orange County,Fl
34135,45781,Bonita Springs,Lee County,Fl
33844,45765,Haines City,Polk County,Fl
33428,45694,Boca Raton,Palm Beach County,Fl
33610,45622,Tampa,Hillsborough County,Fl
33016,45620,Hialeah,Miami-Dade County,Fl
33433,45580,Boca Raton,Palm Beach County,Fl
34997,45562,Stuart,Martin County,Fl
32746,45331,Lake Mary,Seminole County,Fl
32092,45098,Saint Augustine,St. Johns County,Fl
34655,45050,New Port Richey,Pasco County,Fl
33020,44914,Hollywood,Broward County,Fl
33029,44876,Hollywood,Broward County,Fl
34758,44793,Kissimmee,Osceola County,Fl
34609,44696,Spring Hill,Hernando County,Fl
32514,43940,Pensacola,Escambia County,Fl
34748,43915,Leesburg,Lake County,Fl
33009,43893,Hallandale,Broward County,Fl
33880,43732,Winter Haven,Polk County,Fl
33155,43702,Miami,Miami-Dade County,Fl
33076,43660,Pompano Beach,Broward County,Fl
34743,43330,Kissimmee,Osceola County,Fl
33914,43289,Cape Coral,Lee County,Fl
33418,42997,Palm Beach Gardens,Palm Beach County,Fl
32566,42878,Navarre,Santa Rosa County,Fl
33579,42456,Riverview,Hillsborough County,Fl
32724,42326,Deland,Volusia County,Fl
32257,42271,Jacksonville,Duval County,Fl
33169,42156,Miami,Miami-Dade County,Fl
32073,42135,Orange Park,Clay County,Fl
33010,42081,Hialeah,Miami-Dade County,Fl
33160,42058,North Miami Beach,Miami-Dade County,Fl
32224,41919,Jacksonville,Duval County,Fl
34952,41779,Port Saint Lucie,St. Lucie County,Fl
33624,41661,Tampa,Hillsborough County,Fl
32258,41595,Jacksonville,Duval County,Fl
32526,41522,Pensacola,Escambia County,Fl
34208,41521,Bradenton,Manatee County,Fl
32935,41342,Melbourne,Brevard County,Fl
32216,41010,Jacksonville,Duval County,Fl
32404,40969,Panama City,Bay County,Fl
33014,40739,Hialeah,Miami-Dade County,Fl
33322,40738,Fort Lauderdale,Broward County,Fl
33604,40328,Tampa,Hillsborough County,Fl
33172,40278,Miami,Miami-Dade County,Fl
32811,40191,Orlando,Orange County,Fl
32065,40035,Orange Park,Clay County,Fl
32034,40026,Fernandina Beach,Nassau County,Fl
33837,39979,Davenport,Polk County,Fl
34203,39757,Bradenton,Manatee County,Fl
32571,39756,Milton,Santa Rosa County,Fl
32955,39745,Rockledge,Brevard County,Fl
33071,39677,Coral Springs,Broward County,Fl
34759,39528,Kissimmee,Polk County,Fl
33619,39272,Tampa,Hillsborough County,Fl
33905,39247,Fort Myers,Lee County,Fl
33881,38946,Winter Haven,Polk County,Fl
32707,38868,Casselberry,Seminole County,Fl
33908,38844,Fort Myers,Lee County,Fl
32780,38552,Titusville,Brevard County,Fl
32714,38306,Altamonte Springs,Seminole County,Fl
34120,38191,Naples,Collier County,Fl
33437,38178,Boynton Beach,Palm Beach County,Fl
33055,37977,Opa Locka,Miami-Dade County,Fl
33134,37958,Miami,Miami-Dade County,Fl
34698,37838,Dunedin,Pinellas County,Fl
33309,37829,Fort Lauderdale,Broward County,Fl
32810,37755,Orlando,Orange County,Fl
33813,37582,Lakeland,Polk County,Fl
33435,37533,Boynton Beach,Palm Beach County,Fl
33060,37522,Pompano Beach,Broward County,Fl
33613,37354,Tampa,Hillsborough County,Fl
33056,37274,Miami Gardens,Miami-Dade County,Fl
33823,37082,Auburndale,Polk County,Fl
32817,36808,Orlando,Orange County,Fl
32909,36725,Palm Bay,Brevard County,Fl
33460,36578,Lake Worth Beach,Palm Beach County,Fl
32904,36556,Melbourne,Brevard County,Fl
33030,36405,Homestead,Miami-Dade County,Fl
34608,36398,Spring Hill,Hernando County,Fl
33040,36379,Key West,Monroe County,Fl
33317,36322,Fort Lauderdale,Broward County,Fl
33410,36277,Palm Beach Gardens,Palm Beach County,Fl
33909,36172,Cape Coral,Lee County,Fl
32084,36129,Saint Augustine,St. Johns County,Fl
32506,36066,Pensacola,Escambia County,Fl
32209,36062,Jacksonville,Duval County,Fl
33884,36058,Winter Haven,Polk County,Fl
33141,35967,Miami Beach,Miami-Dade County,Fl
32211,35863,Jacksonville,Duval County,Fl
33594,35824,Valrico,Hillsborough County,Fl
32812,35822,Orlando,Orange County,Fl
34116,35710,Naples,Collier County,Fl
32114,35583,Daytona Beach,Volusia County,Fl
33417,35555,West Palm Beach,Palm Beach County,Fl
32807,35479,Orlando,Orange County,Fl
32207,35392,Jacksonville,Duval County,Fl
34653,35319,New Port Richey,Pasco County,Fl
33543,35187,Wesley Chapel,Pasco County,Fl
33139,35100,Miami Beach,Miami-Dade County,Fl
33351,35082,Fort Lauderdale,Broward County,Fl
32277,34880,Jacksonville,Duval County,Fl
33611,34877,Tampa,Hillsborough County,Fl
32570,34755,Milton,Santa Rosa County,Fl
33135,34742,Miami,Miami-Dade County,Fl
33952,34731,Port Charlotte,Charlotte County,Fl
33133,34500,Miami,Miami-Dade County,Fl
34207,34437,Bradenton,Manatee County,Fl
34142,34411,Immokalee,Collier County,Fl
33174,34335,Miami,Miami-Dade County,Fl
34232,34324,Sarasota,Sarasota County,Fl
33990,34275,Cape Coral,Lee County,Fl
32547,34124,Fort Walton Beach,Okaloosa County,Fl
33710,34102,Saint Petersburg,Pinellas County,Fl
34209,34089,Bradenton,Manatee County,Fl
33183,34057,Miami,Miami-Dade County,Fl
34683,34031,Palm Harbor,Pinellas County,Fl
32578,34022,Niceville,Okaloosa County,Fl
32720,33876,Deland,Volusia County,Fl
32503,33875,Pensacola,Escambia County,Fl
33801,33861,Lakeland,Polk County,Fl
32086,33817,Saint Augustine,St. Johns County,Fl
32301,33803,Tallahassee,Leon County,Fl
33073,33691,Pompano Beach,Broward County,Fl
32309,33675,Tallahassee,Leon County,Fl
33409,33372,West Palm Beach,Palm Beach County,Fl
34638,33183,Land O'Lakes,Pasco County,Fl
33173,33026,Miami,Miami-Dade County,Fl
34119,33017,Naples,Collier County,Fl
33130,32946,Miami,Miami-Dade County,Fl
33407,32904,West Palm Beach,Palm Beach County,Fl
33180,32881,Miami,Miami-Dade County,Fl
32507,32766,Pensacola,Escambia County,Fl
33713,32713,Saint Petersburg,Pinellas County,Fl
33570,32620,Ruskin,Hillsborough County,Fl
33756,32615,Clearwater,Pinellas County,Fl
33156,32582,Miami,Miami-Dade County,Fl
34472,32528,Ocala,Marion County,Fl
34231,32413,Sarasota,Sarasota County,Fl
33904,32345,Cape Coral,Lee County,Fl
32773,32342,Sanford,Seminole County,Fl
34772,32268,Saint Cloud,Osceola County,Fl
32312,32244,Tallahassee,Leon County,Fl
33462,32232,Lake Worth,Palm Beach County,Fl
33442,32076,Deerfield Beach,Broward County,Fl
34491,32062,Summerfield,Marion County,Fl
33150,31807,Miami,Miami-Dade County,Fl
32757,31758,Mount Dora,Lake County,Fl
32043,31705,Green Cove Springs,Clay County,Fl
33143,31688,Miami,Miami-Dade County,Fl
34243,31656,Sarasota,Manatee County,Fl
33401,31625,West Palm Beach,Palm Beach County,Fl
33054,31590,Opa Locka,Miami-Dade County,Fl
33325,31546,Fort Lauderdale,Broward County,Fl
33326,31514,Fort Lauderdale,Broward County,Fl
32539,31392,Crestview,Okaloosa County,Fl
32208,31368,Jacksonville,Duval County,Fl
33445,31283,Delray Beach,Palm Beach County,Fl
33470,31165,Loxahatchee,Palm Beach County,Fl
32832,31143,Orlando,Orange County,Fl
33702,31119,Saint Petersburg,Pinellas County,Fl
33334,31047,Fort Lauderdale,Broward County,Fl
33404,31034,West Palm Beach,Palm Beach County,Fl
34205,30966,Bradenton,Manatee County,Fl
32205,30913,Jacksonville,Duval County,Fl
33809,30897,Lakeland,Polk County,Fl
33026,30868,Hollywood,Broward County,Fl
33626,30736,Tampa,Hillsborough County,Fl
34990,30606,Palm City,Martin County,Fl
32221,30597,Jacksonville,Duval County,Fl
33993,30572,Cape Coral,Lee County,Fl
32583,30534,Milton,Santa Rosa County,Fl
33917,30512,North Fort Myers,Lee County,Fl
33547,30431,Lithia,Hillsborough County,Fl
33830,30396,Bartow,Polk County,Fl
33556,30386,Odessa,Hillsborough County,Fl
32607,30306,Gainesville,Alachua County,Fl
33803,30230,Lakeland,Polk County,Fl
32159,30111,Lady Lake,Lake County,Fl
33510,30103,Brandon,Hillsborough County,Fl
