"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"Alachua County, Florida",""
"    Number",""
"        Estimate","97,048"
"    Percent Distribution",""
"        Estimate","97,048"
"    Median income (dollars)",""
"        Estimate","49,078"
"Baker County, Florida",""
"    Number",""
"        Estimate","8,625"
"    Percent Distribution",""
"        Estimate","8,625"
"    Median income (dollars)",""
"        Estimate","61,769"
"Bay County, Florida",""
"    Number",""
"        Estimate","70,199"
"    Percent Distribution",""
"        Estimate","70,199"
"    Median income (dollars)",""
"        Estimate","51,829"
"Bradford County, Florida",""
"    Number",""
"        Estimate","8,993"
"    Percent Distribution",""
"        Estimate","8,993"
"    Median income (dollars)",""
"        Estimate","46,197"
"Brevard County, Florida",""
"    Number",""
"        Estimate","228,888"
"    Percent Distribution",""
"        Estimate","228,888"
"    Median income (dollars)",""
"        Estimate","54,359"
"Broward County, Florida",""
"    Number",""
"        Estimate","682,088"
"    Percent Distribution",""
"        Estimate","682,088"
"    Median income (dollars)",""
"        Estimate","57,333"
"Calhoun County, Florida",""
"    Number",""
"        Estimate","4,556"
"    Percent Distribution",""
"        Estimate","4,556"
"    Median income (dollars)",""
"        Estimate","38,609"
"Charlotte County, Florida",""
"    Number",""
"        Estimate","76,150"
"    Percent Distribution",""
"        Estimate","76,150"
"    Median income (dollars)",""
"        Estimate","49,225"
"Citrus County, Florida",""
"    Number",""
"        Estimate","62,762"
"    Percent Distribution",""
"        Estimate","62,762"
"    Median income (dollars)",""
"        Estimate","41,424"
"Clay County, Florida",""
"    Number",""
"        Estimate","73,398"
"    Percent Distribution",""
"        Estimate","73,398"
"    Median income (dollars)",""
"        Estimate","62,653"
"Collier County, Florida",""
"    Number",""
"        Estimate","140,942"
"    Percent Distribution",""
"        Estimate","140,942"
"    Median income (dollars)",""
"        Estimate","65,675"
"Columbia County, Florida",""
"    Number",""
"        Estimate","24,985"
"    Percent Distribution",""
"        Estimate","24,985"
"    Median income (dollars)",""
"        Estimate","44,491"
"DeSoto County, Florida",""
"    Number",""
"        Estimate","11,996"
"    Percent Distribution",""
"        Estimate","11,996"
"    Median income (dollars)",""
"        Estimate","35,057"
"Dixie County, Florida",""
"    Number",""
"        Estimate","6,520"
"    Percent Distribution",""
"        Estimate","6,520"
"    Median income (dollars)",""
"        Estimate","38,237"
"Duval County, Florida",""
"    Number",""
"        Estimate","354,387"
"    Percent Distribution",""
"        Estimate","354,387"
"    Median income (dollars)",""
"        Estimate","53,473"
"Escambia County, Florida",""
"    Number",""
"        Estimate","118,740"
"    Percent Distribution",""
"        Estimate","118,740"
"    Median income (dollars)",""
"        Estimate","49,286"
"Flagler County, Florida",""
"    Number",""
"        Estimate","40,629"
"    Percent Distribution",""
"        Estimate","40,629"
