zip,population,city,county,state
90011,106042,Los Angeles,Los Angeles County,Ca
90650,101983,Norwalk,Los Angeles County,Ca
94565,100826,Pittsburg,Contra Costa County,Ca
92336,100571,Fontana,San Bernardino County,Ca
91331,99804,Pacoima,Los Angeles County,Ca
90044,98990,Los Angeles,Los Angeles County,Ca
92335,96704,Fontana,San Bernardino County,Ca
90805,96515,Long Beach,Los Angeles County,Ca
90250,96200,Hawthorne,Los Angeles County,Ca
90201,95134,Bell Gardens,Los Angeles County,Ca
91342,92580,Sylmar,Los Angeles County,Ca
90280,92262,South Gate,Los Angeles County,Ca
92683,90630,Westminster,Orange County,Ca
93307,89651,Bakersfield,Kern County,Ca
92503,88617,Riverside,Riverside County,Ca
91911,87799,Chula Vista,San Diego County,Ca
92345,87476,Hesperia,San Bernardino County,Ca
93722,86387,Fresno,Fresno County,Ca
92376,85727,Rialto,San Bernardino County,Ca
92804,84700,Anaheim,Orange County,Ca
92154,83758,San Diego,San Diego County,Ca
95076,83716,Watsonville,Santa Cruz County,Ca
95823,82983,Sacramento,Sacramento County,Ca
93033,82517,Oxnard,Ventura County,Ca
93727,82176,Fresno,Fresno County,Ca
92592,81636,Temecula,Riverside County,Ca
93550,81501,Palmdale,Los Angeles County,Ca
91710,81466,Chino,San Bernardino County,Ca
93535,80905,Lancaster,Los Angeles County,Ca
94112,80880,San Francisco,San Francisco County,Ca
92704,80767,Santa Ana,Orange County,Ca
92509,80325,Jurupa Valley,Riverside County,Ca
95035,79393,Milpitas,Santa Clara County,Ca
91744,79380,La Puente,Los Angeles County,Ca
93257,79217,Porterville,Tulare County,Ca
93274,78831,Tulare,Tulare County,Ca
90706,78352,Bellflower,Los Angeles County,Ca
91709,78341,Chino Hills,San Bernardino County,Ca
92563,78139,Murrieta,Riverside County,Ca
94533,78129,Fairfield,Solano County,Ca
92126,78111,San Diego,San Diego County,Ca
94544,77712,Hayward,Alameda County,Ca
91335,77158,Reseda,Los Angeles County,Ca
95630,76599,Folsom,Sacramento County,Ca
91910,76313,Chula Vista,San Diego County,Ca
95747,75681,Roseville,Placer County,Ca
90003,75024,Los Angeles,Los Angeles County,Ca
93306,74769,Bakersfield,Kern County,Ca
92880,74645,Eastvale,Riverside County,Ca
92553,73945,Moreno Valley,Riverside County,Ca
92805,73310,Anaheim,Orange County,Ca
92105,72688,San Diego,San Diego County,Ca
91706,72495,Baldwin Park,Los Angeles County,Ca
93536,72131,Lancaster,Los Angeles County,Ca
93065,72086,Simi Valley,Ventura County,Ca
90255,71654,Huntington Park,Los Angeles County,Ca
94536,71445,Fremont,Alameda County,Ca
94568,71068,Dublin,Alameda County,Ca
91730,71040,Rancho Cucamonga,San Bernardino County,Ca
95123,70952,San Jose,Santa Clara County,Ca
94509,70889,Antioch,Contra Costa County,Ca
94110,69679,San Francisco,San Francisco County,Ca
92021,69638,El Cajon,San Diego County,Ca
91766,69517,Pomona,Los Angeles County,Ca
94587,69502,Union City,Alameda County,Ca
92882,69472,Corona,Riverside County,Ca
90037,69064,Los Angeles,Los Angeles County,Ca
