"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"Alachua County, Florida",""
"    Number",""
"        Estimate","105,003"
"    Percent Distribution",""
"        Estimate","105,003"
"    Median income (dollars)",""
"        Estimate","53,314"
"Baker County, Florida",""
"    Number",""
"        Estimate","8,532"
"    Percent Distribution",""
"        Estimate","8,532"
"    Median income (dollars)",""
"        Estimate","63,860"
"Bay County, Florida",""
"    Number",""
"        Estimate","72,881"
"    Percent Distribution",""
"        Estimate","72,881"
"    Median income (dollars)",""
"        Estimate","60,473"
"Bradford County, Florida",""
"    Number",""
"        Estimate","8,967"
"    Percent Distribution",""
"        Estimate","8,967"
"    Median income (dollars)",""
"        Estimate","48,803"
"Brevard County, Florida",""
"    Number",""
"        Estimate","242,657"
"    Percent Distribution",""
"        Estimate","242,657"
"    Median income (dollars)",""
"        Estimate","63,632"
"Broward County, Florida",""
"    Number",""
"        Estimate","732,464"
"    Percent Distribution",""
"        Estimate","732,464"
"    Median income (dollars)",""
"        Estimate","64,522"
"Calhoun County, Florida",""
"    Number",""
"        Estimate","4,495"
"    Percent Distribution",""
"        Estimate","4,495"
"    Median income (dollars)",""
"        Estimate","38,098"
"Charlotte County, Florida",""
"    Number",""
"        Estimate","82,755"
"    Percent Distribution",""
"        Estimate","82,755"
"    Median income (dollars)",""
"        Estimate","57,887"
"Citrus County, Florida",""
"    Number",""
"        Estimate","65,843"
"    Percent Distribution",""
"        Estimate","65,843"
"    Median income (dollars)",""
"        Estimate","48,664"
"Clay County, Florida",""
"    Number",""
"        Estimate","77,434"
"    Percent Distribution",""
"        Estimate","77,434"
"    Median income (dollars)",""
"        Estimate","74,059"
"Collier County, Florida",""
"    Number",""
"        Estimate","153,711"
"    Percent Distribution",""
"        Estimate","153,711"
"    Median income (dollars)",""
"        Estimate","75,543"
"Columbia County, Florida",""
"    Number",""
"        Estimate","25,728"
"    Percent Distribution",""
"        Estimate","25,728"
"    Median income (dollars)",""
"        Estimate","47,750"
"DeSoto County, Florida",""
"    Number",""
"        Estimate","12,207"
"    Percent Distribution",""
"        Estimate","12,207"
"    Median income (dollars)",""
"        Estimate","39,945"
"Dixie County, Florida",""
"    Number",""
"        Estimate","6,071"
"    Percent Distribution",""
"        Estimate","6,071"
"    Median income (dollars)",""
"        Estimate","44,287"
"Duval County, Florida",""
"    Number",""
"        Estimate","387,008"
"    Percent Distribution",""
"        Estimate","387,008"
"    Median income (dollars)",""
"        Estimate","59,541"
"Escambia County, Florida",""
"    Number",""
"        Estimate","124,494"
"    Percent Distribution",""
"        Estimate","124,494"
"    Median income (dollars)",""
"        Estimate","56,605"
"Flagler County, Florida",""
"    Number",""
"        Estimate","45,491"
"    Percent Distribution",""
"        Estimate","45,491"
