year,county,ev_station_count,cumulative_ev_stations
2010,Dallas County,1,1
2011,Bexar County,5,5
2011,Collin County,1,1
2011,Dallas County,3,4
2011,Denton County,1,1
2011,Fort Bend County,3,3
2011,Harris County,8,8
2011,Tarrant County,4,4
2011,Travis County,6,6
2012,Harris County,3,11
2012,Hidalgo County,1,1
2012,Tarrant County,1,5
2013,Dallas County,3,7
2013,Harris County,2,13
2013,Tarrant County,1,6
2014,Bexar County,3,8
2014,Collin County,2,3
2014,Dallas County,8,15
2014,Denton County,3,4
2014,Harris County,8,21
2014,Hidalgo County,1,2
2014,Travis County,9,15
2015,Bexar County,4,12
2015,Collin County,10,13
2015,Dallas County,13,28
2015,Denton County,3,7
2015,Harris County,10,31
2015,Hidalgo County,1,3
2015,Tarrant County,3,9
2015,Travis County,17,32
2016,Bexar County,1,13
2016,Collin County,6,19
2016,Dallas County,11,39
2016,Fort Bend County,2,5
2016,Harris County,23,54
2016,Hidalgo County,1,4
2016,Tarrant County,4,13
2016,Travis County,10,42
2017,Bexar County,5,18
2017,Collin County,6,25
2017,Dallas County,9,48
2017,Denton County,5,12
2017,Harris County,18,72
2017,Tarrant County,3,16
2017,Travis County,10,52
2018,Bexar County,6,24
2018,Collin County,4,29
2018,Dallas County,28,76
2018,Denton County,4,16
2018,Fort Bend County,3,8
2018,Harris County,36,108
2018,Hidalgo County,4,8
2018,Tarrant County,21,37
2018,Travis County,33,85
2019,Bexar County,12,36
2019,Collin County,12,41
2019,Dallas County,26,102
2019,Denton County,2,18
2019,Fort Bend County,2,10
2019,Harris County,19,127
2019,Tarrant County,11,48
2019,Travis County,28,113
2020,Bexar County,27,63
2020,Collin County,16,57
2020,Dallas County,56,158
2020,Denton County,9,27
2020,Fort Bend County,10,20
2020,Harris County,49,176
2020,Hidalgo County,1,9
2020,Tarrant County,23,71
2020,Travis County,76,189
2021,Bexar County,52,115
2021,Collin County,31,88
2021,Dallas County,80,238
2021,Denton County,9,36
2021,Fort Bend County,8,28
2021,Harris County,116,292
2021,Hidalgo County,1,10
2021,Tarrant County,59,130
2021,Travis County,203,392
2022,Bexar County,32,147
2022,Collin County,59,147
2022,Dallas County,71,309
2022,Denton County,16,52
2022,Fort Bend County,18,46
2022,Harris County,83,375
2022,Hidalgo County,2,12
2022,Tarrant County,53,183
2022,Travis County,158,550
2023,Bexar County,51,198
2023,Collin County,31,178
2023,Dallas County,87,396
2023,Denton County,20,72
2023,Fort Bend County,10,56
2023,Harris County,113,488
2023,Hidalgo County,8,20
2023,Tarrant County,43,226
2023,Travis County,82,632
2024,Bexar County,37,235
2024,Collin County,90,268
2024,Dallas County,55,451
2024,Denton County,41,113
2024,Fort Bend County,16,72
2024,Harris County,98,586
2024,Hidalgo County,4,24
2024,Tarrant County,56,282
2024,Travis County,52,684
2011,Other Texas Counties,26,26
2012,Other Texas Counties,3,5
2013,Other Texas Counties,4,5
2014,Other Texas Counties,3,4
2015,Other Texas Counties,39,54
2016,Other Texas Counties,37,74
2017,Other Texas Counties,45,93
2018,Other Texas Counties,57,147
2019,Other Texas Counties,49,170
2020,Other Texas Counties,57,173
2021,Other Texas Counties,97,297
2022,Other Texas Counties,200,524
2023,Other Texas Counties,255,759
2024,Other Texas Counties,186,851
